# current time, NumCells_G0G1, NumCells_S, NumCells_G2, NumCells_M, NumCells_dead, SumVolume_G0G1, SumVolume_S, SumVolume_G2, SumVolume_M, SumVolume_dead, DNA damage quantiles live cells (Q1, Q2, Q3)
0 108 128 56 14 7 269352 319232 139664 34916 17458 0 0 0
60 120 98 58 17 35 266240 269777 161549 47350.4 47827.1 0 0 1.43684
120 130 78 48 19 67 276375 233383 151842 60467.9 54926.1 0 0 0.992393
180 125 66 48 17 94 269692 202344 168085 60375 54179.9 0 0 0.809618
240 114 71 42 21 109 250666 218554 156814 79701.6 39923.7 0 0 0.586463
300 108 65 39 23 126 242340 209409 153195 91359.5 36255.1 0 0 0.696866
360 81 73 39 26 144 185651 232091 156189 109415 43400 0 0.00968955 0.597743
420 74 61 35 34 161 173134 199642 141323 146513 37165.8 0 0.0147167 0.566199
480 72 50 35 36 177 170200 165250 145064 157876 30742.2 0 0.00744619 0.401919
540 64 46 34 41 180 152958 155297 138461 182405 25765.1 0 0.0101781 0.268434
600 57 40 33 48 151 137761 136590 135019 216741 17611 0 0.0133892 0.201958
660 50 34 31 54 129 121856 116455 133022 243429 27316.3 0 0.00780269 0.145746
720 35 42 28 60 109 85739.4 139848 119565 277625 12870.1 0 0.0108058 0.115785
780 30 46 21 67 97 73784.5 157332 89513.7 312535 10056.9 7.07208e-05 0.0105854 0.145804
840 27 41 27 68 83 66624 148620 111655 320835 6189.11 0.000115859 0.00774258 0.16207
900 21 42 27 72 63 51963.1 157857 114045 341702 3768.41 0.000149499 0.00498456 0.1244
960 16 45 23 78 48 39671.1 174833 99317.8 372239 1925.81 0.000124796 0.00395646 0.117271
1020 15 38 22 87 32 37234 153561 98720 414640 1065.43 9.42489e-05 0.00236467 0.113899
1080 12 34 22 94 21 29828.2 140676 99394.7 449472 593.196 9.635e-05 0.00165064 0.0761742
1140 11 33 19 99 17 27366.9 140310 89441.8 475401 366.072 5.46284e-05 0.00103234 0.0509118
1200 7 35 19 100 11 17426.3 148772 88726.5 484236 1612.71 4.07412e-05 0.0006356 0.0341634
1260 7 33 16 105 6 17434 144951 74834.1 512163 461.521 2.19438e-05 0.000342344 0.0241143
1320 10 31 13 109 2 24907.3 139921 60254.9 532821 197.164 1.08683e-05 0.000184392 0.013352
1380 10 31 12 110 2 24915.2 139001 56199.2 540051 1873.37 7.29349e-06 0.000128546 0.00853197
1440 11 28 11 114 2 27413.1 127647 49978.5 561375 475.34 4.042e-06 7.65763e-05 0.00467593
1500 8 28 13 114 3 19940.9 128208 58462.6 563144 596.839 2.86816e-06 4.6206e-05 0.00540479
1560 6 23 18 115 4 14958 103072 83266.3 568817 5252.4 1.6645e-06 3.00554e-05 0.00309769
1620 3 23 13 122 5 7480.19 100319 59699.5 602941 1508.42 1.225e-06 2.55022e-05 0.00215141
1680 3 19 13 126 5 7480.62 86935.6 58408.2 622791 622.775 6.59803e-07 1.37359e-05 0.00132553
1740 2 15 15 129 4 4987.48 66658.9 72875.5 635737 330.492 3.86386e-07 9.75355e-06 0.000856405
1800 2 14 12 133 4 4987.6 64732.6 57528.4 657008 199.374 2.08113e-07 5.25341e-06 0.000461272
1860 1 12 12 136 4 2494 53711.2 58069 673394 128.481 1.1336e-07 3.03007e-06 0.000297363
1920 1 11 11 138 3 2494 50015.9 53619 684453 76.5624 6.10576e-08 1.63204e-06 0.000160164
1980 1 11 7 142 2 2494 51106.5 34065 705258 46.5727 3.28865e-08 8.79043e-07 8.6267e-05
2040 1 10 7 143 2 2494 47003 34417.3 710838 32.1626 1.77132e-08 4.73466e-07 4.64647e-05
2100 0 8 6 146 1 0 35984.8 29026.2 726380 2237.71 9.9624e-09 3.07365e-07 2.81224e-05
2160 0 6 6 145 4 0 27494.3 28556.2 721846 5107.7 5.43568e-09 1.67822e-07 1.48143e-05
2220 0 5 7 145 4 0 23121.5 33785.4 722192 1356.87 2.92774e-09 9.03917e-08 7.9792e-06
2280 0 5 4 147 5 0 23535.2 19568.3 731958 3537.37 1.55668e-09 5.12638e-08 4.39428e-06
2340 0 4 4 146 7 0 18963.2 19579.1 727281 8743.41 8.19533e-10 3.00107e-08 2.90542e-06
2400 0 3 4 145 9 0 14284.1 19662.9 722476 6522.8 4.3278e-10 1.4872e-08 1.16262e-06
2460 0 3 3 146 9 0 14448.7 14843.7 727557 1656.76 2.33102e-10 8.01026e-09 6.26205e-07
2520 0 3 2 147 9 0 14574.4 9933.65 732665 836.936 1.25552e-10 4.31445e-09 3.37284e-07
2580 0 3 1 147 10 0 14669.7 4987.03 732773 1478.7 6.96477e-11 2.44067e-09 1.86064e-07
2640 0 3 1 147 7 0 14741.9 4987.26 732886 596.882 3.75133e-11 1.31458e-09 1.00217e-07
2700 0 3 1 146 7 0 14796.4 4987.44 727983 3209.78 2.00096e-11 6.74157e-10 5.52482e-08
2760 0 3 1 146 7 0 14837.5 4987.58 728048 713.674 1.07775e-11 3.63111e-10 2.97575e-08
2820 0 2 2 146 6 0 9975.74 9880.43 728097 349.413 5.8049e-12 1.95577e-10 1.60279e-08
2880 4 1 2 144 4 9975.99 4987.95 9903.92 718157 3048.9 3.02331e-12 1.00044e-10 8.43443e-09
