# current time, NumCells_G0G1, NumCells_S, NumCells_G2, NumCells_M, NumCells_dead, SumVolume_G0G1, SumVolume_S, SumVolume_G2, SumVolume_M, SumVolume_dead, DNA damage quantiles live cells (Q1, Q2, Q3)
0 108 128 56 14 7 269352 319232 139664 34916 17458 0 0 0
60 120 111 56 11 31 265138 305311 155978 30601.4 43725.9 0 0 1.43628
120 125 93 48 12 64 264808 278926 152761 38150.2 58951.6 0 0 1.9123
180 122 75 44 17 92 257933 238781 152617 60523.3 52034.8 0 0 1.27249
240 115 65 35 23 116 250953 218334 131970 86729.2 39766.7 0 0 0.927751
300 114 46 30 27 142 254771 163376 117417 108088 55789.4 0 0 0.373909
360 101 43 31 29 158 231681 142271 124326 122478 44132.3 0 0 0.245829
420 87 52 24 34 169 202883 162731 97292 145934 33730.7 0 0 0.264176
480 86 52 23 34 177 203463 166234 92467.3 149261 21048.9 0 0.00114258 0.395255
540 75 53 25 36 178 179144 169357 99677.9 161449 20211.7 0 0.00489442 0.317283
600 70 54 17 40 155 168927 174618 70667.6 181015 26401.7 0 0.00793154 0.305982
660 57 57 19 43 126 138523 187797 77340.8 198634 22358.2 0 0.0133039 0.324995
720 46 56 20 48 104 112637 189342 82540 221530 16694.5 0 0.0197658 0.274148
780 36 53 19 55 90 88658.4 184184 79483.4 254150 19422.1 8.19538e-08 0.0248334 0.253306
840 26 59 15 61 72 64164 212801 62283.7 285213 7386.03 0.000429399 0.0327239 0.237151
900 25 59 14 63 56 61785 225118 59592.8 296626 5218.01 0.000304865 0.022909 0.227191
960 18 58 15 69 49 44581.5 227835 62524.8 325640 3147.71 0.000372115 0.0247031 0.198487
1020 15 56 18 70 41 37219.3 226662 75447.3 334590 5474.28 0.000297636 0.0157576 0.174125
1080 13 48 25 73 32 32288.9 198153 109696 352000 1697.93 0.000179124 0.0114826 0.145751
1140 12 43 26 78 25 29835.7 182541 117696 377564 902.912 0.000104216 0.0074686 0.107055
1200 12 38 26 82 20 29858.2 167290 118897 399467 4197.05 5.50907e-05 0.00367693 0.0811807
1260 11 32 25 89 15 27386 142769 117555 434361 1363.76 3.30876e-05 0.00216669 0.0539255
1320 10 27 29 91 8 24907.3 122908 136368 446022 570.253 2.11983e-05 0.00119229 0.0317325
1380 7 22 31 95 9 17438.7 100290 146448 465378 3721.71 1.98326e-05 0.000668089 0.0159741
1440 4 21 28 102 6 9967.66 90764.4 133943 501211 842.368 2.15289e-05 0.000656036 0.0107942
1500 4 17 26 106 7 9969.68 73945.7 125501 522397 1962.33 1.17845e-05 0.000353351 0.00613858
1560 4 14 23 112 6 9971.21 61767.3 111920 553027 792.289 6.34731e-06 0.00019032 0.00330633
1620 2 13 23 115 6 4986.19 54838.3 111890 569224 433.918 4.16337e-06 0.000115297 0.00235936
1680 1 14 18 120 6 2493.31 59363.7 88323.4 594551 263.933 2.24245e-06 6.21008e-05 0.00127079
1740 1 12 15 125 4 2493.48 54313.3 71109.3 620212 151.653 1.25963e-06 3.46295e-05 0.0007083
1800 0 11 13 129 4 0 48209.7 61975.8 640831 101.413 6.8846e-07 2.01767e-05 0.000411914
1860 0 9 11 131 5 0 40517.5 53443.8 649731 2326.69 3.72229e-07 1.08675e-05 0.000210584
1920 0 9 8 134 4 0 41462 39116.5 665278 703.557 2.00488e-07 5.8534e-06 0.000113424
1980 0 7 7 136 3 0 33649.1 33480.7 675465 2104.75 1.11398e-07 3.32364e-06 6.33163e-05
2040 0 6 7 137 3 0 29138.3 33646.8 681153 602.041 6.00005e-08 1.79016e-06 3.41031e-05
2100 0 5 6 139 3 0 24485 29630.9 690854 311.145 3.23172e-08 9.64208e-07 1.83685e-05
2160 0 4 4 142 3 0 19698.6 19836.3 706221 184.844 1.74065e-08 5.19337e-07 9.89353e-06
2220 0 3 3 144 3 0 14773.5 14955.4 716624 118.075 9.37541e-09 2.79723e-07 5.32881e-06
2280 0 3 3 143 4 0 14820.1 14957.5 712038 1064.48 5.11121e-09 1.5841e-07 2.97101e-06
2340 0 0 3 146 2 0 0 14861.5 727296 347.739 2.75297e-09 8.53221e-08 1.60023e-06
2400 0 0 2 147 2 0 0 9901.66 732513 179.975 1.48279e-09 4.59558e-08 8.6191e-07
2460 0 0 1 148 2 0 0 4932.11 737677 105.752 7.98655e-10 2.47525e-08 4.64238e-07
2520 0 0 1 148 1 0 0 4945.77 737811 57.5065 4.30168e-10 1.33321e-08 2.50045e-07
2580 0 0 1 147 2 0 0 4956.08 732924 877.106 2.3147e-10 7.39355e-09 1.39249e-07
2640 0 0 1 147 2 0 0 4963.87 733000 320.572 1.24673e-10 3.98228e-09 7.50018e-08
2700 0 0 1 147 2 0 0 4969.75 733057 168.542 6.71509e-11 2.14492e-09 4.03971e-08
2760 0 0 1 147 1 0 0 4974.19 733101 87.5601 3.61685e-11 1.15528e-09 2.17585e-08
2820 0 0 1 146 2 0 0 4977.55 728146 1828.17 1.9462e-11 6.04352e-10 1.05653e-08
2880 0 0 1 146 2 0 0 4980.09 728171 449.166 1.04825e-11 3.25513e-10 5.69064e-09
